iter	Passed	Remaining
781	35871	101744
782	35918	101700
783	35978	101695
784	36040	101693
785	36092	101663
786	36155	101666
787	36218	101667
788	36277	101658
789	36337	101653
790	36392	101632
791	36442	101598
792	36504	101596
793	36564	101587
794	36623	101577
795	36679	101558
796	36737	101546
797	36801	101549
798	36852	101517
799	36916	101519
800	36979	101521
801	37041	101516
802	37097	101497
803	37154	101480
804	37216	101477
805	37279	101478
806	37332	101450
807	37393	101443
808	37454	101436
809	37514	101428
810	37567	101400
811	37623	101378
812	37683	101369
813	37751	101381
814	37814	101379
815	37874	101370
816	37932	101354
817	37993	101347
818	38040	101302
819	38104	101301
820	38152	101258
821	38210	101242
822	38269	101230
823	38329	101219
824	38375	101172
825	38423	101130
826	38478	101105
827	38534	101083
828	38588	101055
829	38646	101038
830	38697	101005
831	38748	100969
832	38802	100941
833	38857	100918
834	38912	100893
835	38971	100879
836	39022	100841
837	39075	100812
838	39129	100786
839	39187	100766
840	39243	100745
841	39303	100732
842	39359	100709
843	39421	100703
844	39488	100706
845	39543	100680
846	39602	100666
847	39653	100630
848	39715	100621
849	39772	100601
850	39832	100588
851	39892	100574
852	39951	100556
853	40003	100525
854	40064	100513
855	40122	100493
856	40182	100480
857	40237	100453
858	40292	100426
859	40355	100418
860	40415	100404
861	40470	100379
862	40535	100375
863	40595	100361
864	40649	100330
865	40709	100315
866	40770	100304
867	40829	100285
868	40890	100273
869	40951	100259
870	41005	100229
871	41055	100191
872	41113	100169
873	41169	100144
874	41224	100116
875	41289	100113
876	41341	100077
877	41400	100059
878	41461	100044
879	41521	100029
880	41579	100007
881	41633	99976
882	41696	99967
883	41749	99934
884	41804	99906
885	41863	99887
886	41915	99851
887	41975	99834
888	42030	99803
889	42085	99775
890	42144	99755
891	42205	99741
892	42263	99720
893	42319	99693
894	42380	99676
895	42439	99656
896	42490	99617
897	42550	99599
898	42603	99566
899	42654	99527
900	42711	99502
901	42768	99477
902	42824	99449
903	42890	99445
904	42943	99411
905	42999	99384
906	43059	99363
907	43111	99328
908	43170	99306
909	43225	99276
910	43284	99255
911	43345	99238
912	43402	99213
913	43461	99192
914	43523	99176
915	43576	99141
916	43636	99121
917	43694	99098
918	43746	99060
919	43801	99029
920	43853	98990
921	43912	98970
922	43973	98953
923	44027	98918
924	44085	98894
925	44135	98852
926	44196	98834
927	44255	98811
928	44311	98783
929	44369	98758
930	44435	98750
931	44492	98724
932	44552	98703
933	44608	98672
934	44669	98654
935	44730	98635
936	44790	98615
937	44850	98594
938	44907	98566
939	44964	98539
940	45023	98515
941	45081	98490
942	45142	98470
943	45204	98452
944	45262	98426
945	45320	98401
946	45378	98376
947	45441	98360
948	45497	98331
949	45550	98292
950	45604	98257
951	45662	98231
952	45726	98218
953	45774	98171
954	45831	98142
955	45879	98093
956	45938	98069
957	45987	98023
958	46045	97997
959	46103	97970
960	46158	97937
961	46211	97900
962	46269	97872
963	46329	97848
964	46392	97832
965	46452	97809
966	46514	97790
967	46570	97760
968	46632	97740
969	46684	97700
970	46752	97693
971	46810	97666
972	46871	97645
973	46931	97621
974	46994	97603
975	47056	97585
976	47112	97551
977	47169	97521
978	47223	97485
979	47287	97469
980	47340	97431
981	47396	97398
982	47458	97379
983	47521	97361
984	47581	97335
985	47643	97317
986	47702	97289
987	47765	97271
988	47824	97243
989	47876	97204
990	47939	97185
991	47993	97148
992	48058	97134
993	48119	97110
994	48185	97097
995	48251	97083
996	48308	97053
997	48377	97046
998	48433	97012
999	48489	96979
1000	48551	96957
1001	48609	96928
1002	48665	96894
1003	48719	96856
1004	48779	96831
1005	48845	96817
1006	48900	96782
1007	48964	96762
1008	49028	96745
1009	49086	96715
1010	49141	96678
1011	49204	96658
1012	49275	96654
1013	49332	96621
1014	49399	96608
1015	49465	96593
1016	49539	96594
1017	49614	96596
1018	49752	96721
1019	49875	96816
1020	49999	96914
1021	50091	96947
1022	50173	96962
1023	50240	96947
1024	50313	96946
1025	50512	97185
1026	50662	97328
1027	50785	97421
1028	50859	97419
1029	50922	97395
1030	50996	97392
1031	51089	97426
1032	51189	97472
1033	51286	97513
1034	51383	97553
1035	51469	97572
1036	51585	97649
1037	51662	97651
1038	51732	97639
1039	51869	97754
1040	51941	97746
1041	52017	97744
1042	52135	97823
1043	52206	97812
1044	52284	97814
1045	52364	97819
1046	52442	97822
1047	52512	97810
1048	52596	97823
1049	52655	97788
1050	52724	97774
1051	52785	97743
1052	52844	97708
1053	52902	97674
1054	52975	97665
1055	53053	97667
1056	53116	97639
1057	53170	97596
1058	53236	97575
1059	53293	97536
1060	53357	97511
1061	53423	97491
1062	53490	97470
1063	53557	97451
1064	53631	97442
1065	53704	97433
1066	53783	97435
1067	53849	97412
1068	53937	97430
1069	54014	97427
1070	54087	97418
1071	54157	97401
1072	54230	97391
1073	54300	97377
1074	54372	97364
1075	54440	97345
1076	54512	97332
1077	54601	97350
1078	54662	97319
1079	54715	97271
1080	54779	97245
1081	54833	97200
1082	54886	97153
1083	54955	97135
1084	55008	97088
1085	55061	97042
1086	55118	97002
1087	55167	96948
1088	55230	96919
1089	55287	96879
1090	55343	96839
1091	55404	96806
1092	55463	96769
1093	55521	96731
1094	55587	96707
1095	55645	96669
1096	55707	96637
1097	55767	96602
1098	55831	96574
1099	55891	96540
1100	55957	96515
1101	56023	96491
1102	56081	96451
1103	56136	96408
1104	56207	96391
1105	56273	96367
1106	56330	96326
1107	56389	96289
1108	56449	96254
1109	56501	96204
1110	56564	96175
1111	56630	96149
1112	56693	96119
1113	56750	96079
1114	56816	96052
1115	56872	96010
1116	56931	95972
1117	56987	95930
1118	57047	95895
1119	57114	95870
1120	57171	95829
1121	57232	95795
1122	57292	95760
1123	57353	95725
1124	57407	95678
1125	57466	95641
1126	57521	95597
1127	57571	95544
1128	57621	95492
1129	57685	95461
1130	57737	95412
1131	57788	95361
1132	57845	95319
1133	57905	95283
1134	57964	95246
1135	58019	95201
1136	58071	95150
1137	58131	95114
1138	58185	95067
1139	58236	95017
1140	58300	94988
1141	58372	94970
1142	58430	94931
1143	58489	94892
1144	58550	94857
1145	58612	94822
1146	58670	94783
1147	58731	94748
1148	58782	94697
1149	58847	94667
1150	58924	94657
1151	59038	94708
1152	59128	94717
1153	59214	94722
1154	59302	94729
1155	59385	94729
1156	59473	94736
1157	59570	94757
1158	59668	94780
1159	59768	94804
1160	59863	94823
1161	59959	94840
1162	60044	94842
1163	60117	94825
1164	60212	94840
1165	60288	94827
1166	60349	94790
1167	60409	94751
1168	60459	94697
1169	60521	94661
1170	60584	94628
1171	60643	94587
1172	60704	94549
1173	60759	94503
1174	60832	94484
1175	60893	94447
1176	60952	94406
1177	61013	94368
1178	61075	94333
1179	61146	94311
1180	61203	94266
1181	61263	94228
1182	61315	94176
1183	61372	94131
1184	61427	94084
1185	61488	94046
1186	61549	94009
1187	61609	93970
1188	61674	93937
1189	61768	93950
1190	61844	93934
1191	61905	93896
1192	61963	93854
1193	62025	93818
1194	62084	93776
1195	62142	93733
1196	62199	93688
1197	62255	93642
1198	62315	93603
1199	62372	93558
1200	62437	93526
1201	62494	93482
1202	62552	93438
1203	62615	93402
1204	62693	93390
1205	62752	93348
1206	62804	93296
1207	62868	93261
1208	62930	93224
1209	62991	93185
1210	63046	93137
1211	63106	93097
1212	63168	93060
1213	63232	93025
1214	63291	92983
1215	63346	92935
1216	63404	92892
1217	63458	92843
1218	63516	92799
1219	63580	92765
1220	63640	92724
1221	63707	92693
1222	63769	92655
1223	63824	92607
1224	63879	92559
1225	63935	92513
1226	63991	92466
1227	64046	92418
1228	64110	92384
1229	64171	92343
1230	64224	92292
1231	64288	92257
1232	64347	92215
1233	64405	92172
1234	64458	92121
1235	64518	92079
1236	64590	92055
1237	64658	92026
1238	64715	91980
1239	64776	91941
1240	64841	91906
1241	64906	91871
1242	64968	91834
1243	65035	91803
1244	65096	91762
1245	65158	91724
1246	65224	91691
1247	65287	91654
1248	65349	91615
1249	65412	91577
1250	65474	91538
1251	65534	91496
1252	65586	91443
1253	65645	91401
1254	65703	91357
1255	65765	91317
1256	65819	91267
1257	65886	91235
1258	65945	91192
1259	66003	91147
1260	66068	91113
1261	66126	91067
1262	66190	91031
1263	66253	90994
1264	66314	90953
1265	66383	90923
1266	66434	90869
1267	66488	90818
1268	66550	90778
1269	66610	90737
1270	66674	90700
1271	66739	90665
1272	66798	90621
1273	66851	90570
1274	66912	90528
1275	66967	90479
1276	67029	90439
1277	67086	90393
1278	67143	90347
1279	67205	90307
1280	67256	90252
1281	67308	90199
1282	67371	90161
1283	67433	90121
1284	67486	90068
1285	67546	90026
1286	67608	89986
1287	67676	89955
1288	67731	89905
1289	67793	89865
1290	67856	89826
1291	67921	89791
1292	67986	89754
1293	68039	89702
1294	68104	89667
1295	68164	89623
1296	68206	89557
1297	68270	89518
1298	68335	89482
1299	68395	89440
1300	68457	89400
1301	68520	89361
1302	68578	89314
1303	68636	89268
1304	68703	89235
1305	68765	89194
1306	68823	89149
1307	68883	89106
1308	68948	89069
1309	69015	89035
1310	69078	88996
1311	69139	88953
1312	69196	88907
1313	69267	88877
1314	69320	88824
1315	69382	88784
1316	69440	88738
1317	69505	88700
1318	69570	88663
1319	69629	88619
1320	69687	88573
1321	69747	88530
1322	69811	88491
1323	69863	88437
1324	69931	88403
1325	69995	88364
1326	70053	88318
1327	70116	88279
1328	70185	88246
1329	70248	88206
1330	70318	88175
1331	70382	88136
1332	70441	88091
1333	70497	88042
1334	70557	87998
1335	70616	87953
1336	70681	87915
1337	70752	87884
1338	70815	87844
1339	70879	87805
1340	70941	87764
1341	71006	87726
1342	71058	87672
1343	71121	87632
1344	71185	87592
1345	71240	87541
1346	71300	87498
1347	71360	87453
1348	71423	87412
1349	71481	87366
1350	71541	87322
1351	71602	87279
1352	71662	87234
1353	71719	87186
1354	71781	87144
1355	71843	87101
1356	71909	87065
1357	71965	87015
1358	72019	86964
1359	72080	86921
1360	72137	86872
1361	72204	86835
1362	72266	86794
1363	72325	86747
1364	72379	86696
1365	72440	86652
1366	72493	86599
1367	72546	86546
1368	72609	86505
1369	72674	86466
1370	72738	86426
1371	72798	86382
1372	72862	86342
1373	72928	86303
1374	72987	86257
1375	73043	86208
1376	73111	86172
